"ego_id","alter_id","ego_section","alter_section"
22,21,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
22,26,"SP25-MSBR-70340-02","SP25-MSBR-70340-01"
22,28,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
22,3,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
22,41,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
22,42,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
22,55,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
22,60,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
22,39,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
22,53,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
22,61,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
22,52,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
22,56,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
22,32,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
